name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Penrose Point State Park,Olympic Peninsula -- Kitsap Peninsula,"2.5 miles, roundtrip",140,140,4.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Old growth|Coast,"Found on the shores of Puget Sound is the marine and camping Penrose Point State Park. The park consists of 237 acres and nearly two miles of shoreline, including Mayo Cove and Carr Inlet.",roundtrip,2.5,Olympic Peninsula
Old Snowy Mountain - Elk Pass,South Cascades -- Goat Rocks,"17.0 miles, roundtrip",3100,7800,3.88,Ridges/passes|Wildlife|Summits|Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Fall foliage,"Climb through incredible high-mountain meadows, then scramble up a rocky peak to amazing three-volcano panoramas, and along a stark knife-edge ridge to a divide between the Packwood Lake basin and the Tieton River valley.",roundtrip,17,South Cascades
Paw Print Connector,Issaquah Alps -- Tiger Mountain,"1.1 miles, roundtrip",100,2200,5.00,Old growth|Good for kids|Dogs allowed on leash,"A connector trail on Tiger Mountain. Access from Tiger Mountain Trail, 15 Mile Railroad Grade, East Tiger, and Upper and Middle Bootleg Trail.",roundtrip,1.1,Issaquah Alps
Pacific Crest Trail (PCT) Section I - White Pass to Snoqualmie Pass,South Cascades -- White Pass/Cowlitz River Valley,"99.0 miles, one-way",17771,6530,3.14,Ridges/passes|Wildlife|Summits|Lakes|Rivers|Wildflowers/Meadows|Mountain views|Established campsites|Old growth|Fall foliage,"Starting in well-protected sub-alpine wilderness and descending into heavily-logged, privately-owned land, this stretch of the PCT offers a dramatic illustration of the effects of public land protection and private industry on Washington's landscape.",one-way,198,South Cascades
Oyster Dome,Puget Sound and Islands -- Bellingham Area,"5.0 miles, roundtrip",1050,2025,4.10,Mountain views|Wildlife|Summits|Dogs allowed on leash|Coast,"Oyster Dome is a rocky promontory on the western slope of Blanchard Mountain, the grandest member of the Chuckanut Mountain range, an extension of the Cascades that rises directly from the ocean. The sheer cliffs of Oyster Dome offer year-round access to commanding views of the San Juans, Skagit River flats, Olympic Mountains, and Samish Bay.",roundtrip,5,Puget Sound and Islands
Padilla Bay,Puget Sound and Islands -- Bellingham Area,"4.4 miles, roundtrip",30,30,3.09,Wildlife|Good for kids|Dogs allowed on leash|Coast,"Walk along a bay where the Skagit River meets the Salish Sea. This estuary at the saltwater edge of the Skagit River delta is eight miles long and three miles across, and you can walk a portion of it. This hike can be enjoyed by almost anyone in any season. The easy flat walking make this an ideal hike for those just starting to hike, or someone recovering from injury or illness. Birders will definitely want to bring the binoculars! Before you start, be sure to check out the large tree on the road to the trailhead, there is a pair of bald eagles that sometimes hang out here.",roundtrip,4.4,Puget Sound and Islands
Olympic Hot Springs,Olympic Peninsula -- Northern Coast,"4.8 miles, roundtrip",600,2084,3.55,Dogs not allowed|Old growth|Fall foliage|Established campsites|Rivers,Hike to some remote hot springs on the Olympic Peninsula.,roundtrip,4.8,Olympic Peninsula
Pack Forest - Hugo Peak,Puget Sound and Islands -- Seattle-Tacoma Area,"4.5 miles, roundtrip",880,1790,3.45,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage,Head for Pack Forest and Hugo Peak when you want some exercise but don't have a full day to commit as it is only 10 minutes from Eatonville. The trail is well maintained and there is a hiking register at the top. It's also a great hike for kids when they're ready to stretch their legs.,roundtrip,4.5,Puget Sound and Islands
Old Sauk ADA Loop,North Cascades -- Mountain Loop Highway,"1.0 miles, roundtrip",200,800,2.00,Mountain views|Old growth|Good for kids|Dogs allowed on leash|Rivers,"Try this early-season, ADA-accessible hike to enjoy big trees, rushing waters and glimpses of eagles, mergansers and river otters.",roundtrip,1,North Cascades
Packwood Lake Snowshoe,South Cascades -- Goat Rocks,"9.0 miles, roundtrip",475,3225,4.50,Mountain views|Old growth|Wildlife|Dogs allowed on leash|Lakes,Packwood Lake makes for an arduous snowshoe adventure through old-growth forest in the Goat Rocks Wilderness area. Higher-elevation routes may still be waiting to melt out but views of snowy mountain peaks and precious solitude are your well-earned reward for the miles you will cover into the backcountry.,roundtrip,9,South Cascades
Panther Creek Experimental Forest,Southwest Washington -- Columbia River Gorge - WA,"7.2 miles, roundtrip",1200,4000,2.00,Mountain views|Old growth|Wildlife|Established campsites|Ridges/passes,"Hike a short section of the Pacific Crest Trail in southwest Washington. It takes hikers through an experimental forest all the way up to a high point at Big Huckleberry Mountain (though the views aren't much from the top, you'll enjoy some peek-a-boos from the forest on the way up.",roundtrip,7.2,Southwest Washington
Panther Creek Falls,Southwest Washington -- Columbia River Gorge - WA,"0.16 miles, roundtrip",100,1800,4.75,Dogs allowed on leash|Rivers|Good for kids|Waterfalls,"Take a beautiful, very short hike to a lovely waterfall off the beaten path.",roundtrip,0.16,Southwest Washington
Pacific Crest Trail (PCT) Section H - Bridge of the Gods to White Pass,Southwest Washington -- Columbia River Gorge - WA,"147.5 miles, one-way",27996,7800,4.00,Ridges/passes|Wildlife|Summits|Lakes|Rivers|Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Fall foliage,"Offering spectacular views of the three southern volcanoes in Washington, lakes, meadows and wildlife over relatively moderate terrain, Section H is the perfect starting point for the Washington portion of the Pacific Crest Trail.",one-way,295,Southwest Washington
Peggy's Pond,Snoqualmie Region -- Salmon La Sac/Teanaway,"11.0 miles, roundtrip",2300,5600,3.43,Wildflowers/Meadows|Mountain views|Lakes|Established campsites|Ridges/passes,"Access to such a grand location, with such ease, should be illegal. For the low admission price of a half dozen miles one can gain entrance to a primordial world of receding glaciers, wildflower carpeted meadows, and purple mountains majesties. The last mile to the lake will test many hikers’ nerves but the rewards are worth it. This pond is an excellent destination unto itself. It is also a stepping stone to more ambitious cross country ramblings in the Alpine Lakes Wilderness.",roundtrip,11,Snoqualmie Region
Paradise Valley Conservation Area,Puget Sound and Islands -- Seattle-Tacoma Area,"5.0 miles, roundtrip",150,450,3.16,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage|Rivers,"Come hike the headwaters of the Bear Creek watershed in this close in Snohomish County Park near Woodinville. Here you will find a mature second growth forest, a wetland that plays a vital role in the health of this salmon stream plus a network of trails for any fitness level.",roundtrip,5,Puget Sound and Islands
Noble Knob,Mount Rainier Area -- Chinook Pass - Hwy 410,"5.0 miles, roundtrip",950,6011,4.21,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Good for kids,This hike up to a former lookout site provides spectacular views of Mount Rainier and the surrounding landscape.,roundtrip,5,Mount Rainier Area
North Fork Tieton to Tieton Pass,South Cascades -- Goat Rocks,"10.0 miles, roundtrip",2500,1600,2.67,Wildflowers/Meadows|Mountain views|Wildlife|Dogs allowed on leash|Rivers,"This trail offers a nice wander through the woods to a low pass. While it's short on views, it offers an extended forested wander where you can creekhop to your heart's content.",roundtrip,10,South Cascades
Obstruction Pass State Park,Puget Sound and Islands -- San Juan Islands,"1.9 miles, roundtrip",305,225,3.40,Wildlife|Established campsites|Old growth|Good for kids|Dogs allowed on leash|Coast,"Moran State Park might have mountains and lakes, but Obstruction Pass has quiet, open forest, secluded campgrounds, and the largest public beach on Orcas Island. Take a quiet walk here and soak in the peaceful shoreline.",roundtrip,1.9,Puget Sound and Islands
Nook Trail,Issaquah Alps -- Tiger Mountain,"6.0 miles, roundtrip",2000,2525,2.50,Mountain views,"For those who enjoy the challenge of Mailbox Peak-style climbing, look no further than Issaquah to find her little brother, tightly packaged in a quad-exerting, heart-jerking direct climb to West Tiger 3’s hilltop vista.",roundtrip,6,Issaquah Alps
Observation Peak,Southwest Washington -- Lewis River Region,"5.0 miles, roundtrip",500,4207,3.89,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits,"Visit a the site of an old fire lookout, where you'll have views for miles in all directions on a clear day. Along the way, you'll enjoy wildflowers of many varieties, beargrass, and plump huckleberries in the summertime.",roundtrip,5,Southwest Washington
North Scatter Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,"5.8 miles, roundtrip",2900,6200,2.60,Wildflowers/Meadows|Mountain views|Wildlife|Ridges/passes|Summits|Dogs allowed on leash,Hike a steep trail up to a high pass in the Wenatchee mountains above the upper Cle Elum River.,roundtrip,5.8,Snoqualmie Region
Norway Pass,South Cascades -- Mount St. Helens,"4.5 miles, roundtrip",860,4500,4.27,Wildflowers/Meadows|Mountain views|Dogs not allowed|Lakes|Ridges/passes,"Witness the destructive force and the restorative power of nature on this hike in the blast zone of Mount St. Helens’ 1980 eruption. The rocky ash and treeless areas are testaments to the devastation caused by the explosion, while wildflowers and shrubs signal the return of vegetation to the denuded landscape.",roundtrip,4.5,South Cascades
North Butte,Puget Sound and Islands -- Bellingham Area,"6.12 miles, roundtrip",910,2178,4.00,,"An extension of the Lily Lake trail that leads to the Lily Lake Campsite. It's pretty uphill, but worth the view once you get there. You can get to this trail by several means: The Lily Lake/Lizard Lake Trailhead, Larry Reid/Max's Shortcut/Lily Lake route, or from the Oyster Dome trail from the West.",roundtrip,6.12,Puget Sound and Islands
Billy Frank Jr. Nisqually National Wildlife Refuge,Puget Sound and Islands -- Seattle-Tacoma Area,"5.0 miles, roundtrip",10,10,3.94,Wildflowers/Meadows|Wildlife|Dogs not allowed|Rivers|Good for kids|Coast,"Formerly known as the Nisqually National Wildlife Refuge and renamed to honor the memory of a noted activist, this an excellent year-round destination for wildlife viewing and photography.",roundtrip,5,Puget Sound and Islands
North Fork Asotin Creek to Pinkham Butte,Eastern Washington -- Palouse and Blue Mountains,"20.0 miles, roundtrip",1750,3080,0.00,Wildflowers/Meadows|Dogs allowed on leash|Old growth|Wildlife|Established campsites,This trail follows the north fork of Asotin Creek before climbing to Pinkham Butte.,roundtrip,20,Eastern Washington
North Twentymile Peak,North Cascades -- Pasayten,"12.8 miles, roundtrip",4387,7437,3.50,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Fall foliage,"On this little used trail, hikers can see history, both natural and man-made. Large sections of the forest are recovering from the 2006 Tripod Complex Fire, and the two lookouts on the summit provide a glimpse of the 1920's and 1940's construction.",roundtrip,12.8,North Cascades
North Lake,North Cascades -- Methow/Sawtooth,"10.6 miles, roundtrip",2220,5840,5.00,Wildflowers/Meadows|Mountain views|Lakes,"Hike in to a small lake at the head of a valley with good campsites and many possibilities for exploration. Along the way, see the difference between the 2018 Crescent Mountain Fire impacted forest and the old growth forest.",roundtrip,10.6,North Cascades
Norse Peak,Mount Rainier Area -- Chinook Pass - Hwy 410,"10.0 miles, roundtrip",2900,6856,3.79,Wildflowers/Meadows|Mountain views|Wildlife|Summits|Dogs allowed on leash,"A steep, yet surprisingly comfortable climb to views of Mount Adams, Mount Rainier, Mount Hood, Glacier Peak, and the Olympics.",roundtrip,10,Mount Rainier Area
Nordic Pass - Hyak,Snoqualmie Region -- Snoqualmie Pass,"7.0 miles, roundtrip",1600,4250,3.67,Mountain views|Lakes|Rivers,"Try this backcountry ski or snowshoe trail through deep forest, past lakes and with access to Windy Pass and Mount Catherine.",roundtrip,7,Snoqualmie Region
Observation Rock,Mount Rainier Area -- NW - Carbon River/Mowich,"13.0 miles, roundtrip",3435,8364,3.00,Wildflowers/Meadows|Ridges/passes|Wildlife|Established campsites|Mountain views|Dogs not allowed|Summits|Waterfalls,"From Spray Park, in Mt. Rainier National Park: a fun, class 2 scramble to Observation Rock.",roundtrip,13,Mount Rainier Area
Old Ellensburg,Central Cascades -- Blewett Pass,"3.6 miles, roundtrip",500,5700,2.50,Wildflowers/Meadows|Fall foliage,"Beginning at Forest Road 9712 and ending at the Forest Boundary, the Old Ellensburg Trail comprises one third of the three trails used to make a popular loop around Mount Lillian.",roundtrip,3.6,Central Cascades
Saint Edward State Park,Puget Sound and Islands -- Seattle-Tacoma Area,"3.0 miles, roundtrip",400,400,3.93,Wildflowers/Meadows|Wildlife|Dogs allowed on leash|Good for kids|Lakes|Fall foliage,"Hike through a diverse century-old second-growth forest with a dense canopy to the undeveloped shoreline of Lake Washington. This historic 316-acre state park, nestled in the midst of the Seattle metropolitan area, has playground facilities for children, picnic areas, trails for mountain bikers and fields for sports teams as well.",roundtrip,3,Puget Sound and Islands
North Fork Sol Duc River,Olympic Peninsula -- Northern Coast,"18.0 miles, roundtrip",1900,2900,3.12,Wildlife|Established campsites|Old growth|Good for kids|Dogs not allowed|Fall foliage|Rivers,"The North Fork Sol Duc River is a remote wilderness trail teeming with adventure. The trail is seldom maintained all the way to its end, and three river fords complicate the effort. The shoulder season hiker may experience solitude and wildlife, but they will also likely encounter high water, blowdown, and route-finding challenges.",roundtrip,18,Olympic Peninsula
Oak Creek Road - Bethel Ridge,Central Washington -- Yakima,"6.5 miles, roundtrip",800,2500,0.00,Wildlife|Old growth|Good for kids|Dogs allowed on leash|Fall foliage|Rivers,"This is a scenic, easy to moderate hike or snowshoe up a broad canyon with a good chance of spotting bands of elk.",roundtrip,6.5,Central Washington
Old Blewett Pass Highway,Central Cascades -- Blewett Pass,"8.2 miles, roundtrip",1030,4064,0.00,Mountain views|Dogs allowed on leash|Ridges/passes,"This old road is managed for snowmobilers, cross-country skiers, and snowshoers, and it's a great way to enjoy a long, 8-mile snowshoe, or a shorter hike to views and history of the area.",roundtrip,8.2,Central Cascades
Mount Si - Old Trail,Snoqualmie Region -- North Bend Area,"7.4 miles, roundtrip",3420,3980,4.41,Wildflowers/Meadows|Mountain views|Wildlife|Waterfalls|Old growth|Summits|Dogs allowed on leash|Fall foliage,"The “old” trail that ascends Mount Si’s western flank offers a shorter, steeper, slightly more scenic, and if one dare say it — less crowded — route to the summit, where you can rejoin the rest of the people who flock to one of Snoqualmie Pass’s most popular hiking destinations.",roundtrip,7.4,Snoqualmie Region
Mount Wow,Mount Rainier Area -- SW - Longmire/Paradise,"4.0 miles, roundtrip",3800,6040,3.00,Mountain views|Summits|Ridges/passes,"Followed the remnants of old logging road to the end, then head up the southwest ridge of Mt. Wow toward peak 5614, for incredible views of Mount Rainier. Class 2 or 3, climbing experience and equipment strongly recommended.",roundtrip,4,Mount Rainier Area
Mount Storm King,Olympic Peninsula -- Northern Coast,"4.0 miles, roundtrip",2065,2600,4.03,Mountain views|Dogs not allowed|Summits|Fall foliage,"Hikers flock to Mount Storm King for that signature shot, standing on a rocky outcropping above Lake Crescent. But it's a grind to get there, and the climb to the summit can be dangerous in bad weather. Luckily, there are several outcroppings about halfway to the top offering similar views. It's still a steep hike to get to them, but at least it's shorter.",roundtrip,4,Olympic Peninsula
Mount Ararat,Mount Rainier Area -- SW - Longmire/Paradise,"12.5 miles, roundtrip",4000,6010,0.00,Wildflowers/Meadows|Mountain views|Old growth|Summits|Dogs not allowed|Rivers,"Fine, in your face views, of Mount Rainier await hikers willing to hoof it 4000 vertical feet up to the top of Mount Ararat from the Kautz Creek parking area.",roundtrip,12.5,Mount Rainier Area
Mount Spokane State Park - Trail 110,Eastern Washington -- Spokane Area/Coeur d'Alene,"7.5 miles, roundtrip",1750,5000,4.00,Wildflowers/Meadows|Dogs allowed on leash|Old growth|Wildlife|Fall foliage,"Trail 110 is one of the core trails within Mount Spokane State Park, beginning just inside the park entrance and providing access to numerous connector trails. Hike it as an out-and-back to learn the intersections, then explore the connecting trails to form loop routes.",roundtrip,7.5,Eastern Washington
Mount Townsend - Silver Lakes Traverse,Olympic Peninsula -- Hood Canal,"14.0 miles, roundtrip",3200,6280,4.00,Mountain views|Established campsites|Old growth|Summits|Lakes|Rivers,"Who doesn’t love a secret passageway? While the hordes gain Townsend from Quilcene side, sneak up on them from behind, then continue to Silver Lake for lovely camping and wandering opportunities.",roundtrip,14,Olympic Peninsula
Mount Walker,Olympic Peninsula -- Hood Canal,"4.0 miles, roundtrip",2000,2804,3.44,Wildflowers/Meadows|Mountain views|Wildlife|Summits|Dogs allowed on leash,"Approachable throughout the year, the Mount Walker trail’s average 20% grade makes it a go-to route for hikers and trail runners looking for a short, brisk tromp. (While it is also a designated stock trail, riders and pack animals rarely make an appearance.) Spring, summer, and fall the 2-mile trail is both ascended and descended by those on foot. In the winter, when the Mount Walker road is gated closed to vehicles, many will pursue the then 2.25-mile jaunt up to the north viewpoint, saunter over to the south viewpoint and then descend on the more gentle grade of the road.",roundtrip,4,Olympic Peninsula
Mount Spokane State Park - Trail 100,Eastern Washington -- Spokane Area/Coeur d'Alene,"7.0 miles, roundtrip",650,4526,3.00,Wildflowers/Meadows|Dogs allowed on leash|Old growth|Wildlife|Fall foliage,"Accessible from two trailheads, shady Trail 100 provides respite from both the heat of summer and the winds of winter along its approximately 3.5-mile length.",roundtrip,7,Eastern Washington
Natapoc Mountain,Central Cascades -- Leavenworth Area,"6.3 miles, roundtrip",2300,4204,0.00,Mountain views|Summits|Ridges/passes,A summit scramble in the central Cascades.,roundtrip,6.3,Central Cascades
Muddy Fork Lava Bed,South Cascades -- Mount Adams Area,"5.0 miles, roundtrip",500,4900,3.17,Mountain views|Wildlife|Summits|Good for kids|Dogs allowed on leash|Rivers,"Mount Adams, at 12,276 feet, dominates the South Cascades and provides the most dramatic scenery of the region. The mountain is a standout destination also for the massive basalt lava beds that cover large portions of the surrounding landscape. This relatively young volcano initially formed nearly a million years ago, about 3 miles southeast of its current location. That first cone was ground down by glaciers during the long succession of ice ages that swept the region, while the ""hot spot"" that gave birth to the mountain shifted northwest as plate tectonics and continental drift rearranged the landscape.",roundtrip,5,South Cascades
Murhut Falls,Olympic Peninsula -- Hood Canal,"1.6 miles, roundtrip",250,1050,3.85,Old growth|Good for kids|Dogs allowed on leash|Waterfalls,This short trail in the Hood Canal Ranger District on the east side of the Olympics takes hikers to a relatively unknown waterfall that delivers its reward -- a captivating 130-foot plunging waterfall -- in just under a mile.,roundtrip,1.6,Olympic Peninsula
Nannie Ridge-Sheep Lake,South Cascades -- Goat Rocks,"9.3 miles, roundtrip",2056,5842,3.44,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Ridges/passes|Lakes,"A steep climb rewards you with huckleberries, stunning mountain views, wildflower meadows and a charming alpine lake along the Pacific Crest Trail.",roundtrip,9.3,South Cascades
Mount Zion,Olympic Peninsula -- Hood Canal,"4.6 miles, roundtrip",1300,4274,3.50,,"The trip to Mount Zion is straightforward and short; a steep hike through fir, hemlock cedar, salal, and, the main attraction for many visitors, tall groves of wild rhododendrons. Views from the top are limited, but a little ridgeline wandering to the south afford the intrepid better views of the Olympic Mountains.",roundtrip,4.6,Olympic Peninsula
Newberry Hill Heritage Park,Olympic Peninsula -- Kitsap Peninsula,13.0 miles of trails,250,350,4.00,Wildlife|Dogs allowed on leash|Old growth|Good for kids|Lakes|Rivers,"This little gem of a park is located in Kitsap County, at the west end of Newberry Hill Road right before the T to Seabeck Highway.",trails,13,Olympic Peninsula
Moran State Park - Mountain Lake,Puget Sound and Islands -- San Juan Islands,"3.9 miles, roundtrip",50,950,3.44,Wildflowers/Meadows|Dogs allowed on leash|Wildlife|Good for kids|Lakes,"The loop around Mountain Lake is the perfect way to spend a relaxing day on Orcas Island. If part of your crew is interested in the more challenging Mount Constitution, this is a good way to while away the time that they're trekking to the top.",roundtrip,3.9,Puget Sound and Islands
Ned Hill,Olympic Peninsula -- Northern Coast,"2.2 miles, roundtrip",900,3469,1.83,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits,"Here's a good training hike to the site of a former fire lookout. You'll get a workout in heading through the tangle of salal, Oregon grape, and imposing rhododenrons. There's not much of a view from the top anymore, since it hasn't been used as a lookout in decades, but it's still worth a visit, particularly if you need a leg-stretcher or you're in the area.",roundtrip,2.2,Olympic Peninsula
Mowich Lake Snowshoe,Mount Rainier Area -- NW - Carbon River/Mowich,"10.0 miles, roundtrip",1400,5000,3.14,Mountain views|Dogs not allowed|Lakes|Established campsites,Mowich Lake is a moderate snowshoe tucked into the northwest corner of Mount Rainier National Park.,roundtrip,10,Mount Rainier Area
Navaho Peak,Snoqualmie Region -- Salmon La Sac/Teanaway,"13.7 miles, roundtrip",4223,7223,4.52,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits|Ridges/passes,"From Navaho Pass, the trail to Navaho Peak is siren-like, pulling you towards the summit long after you realize how tired you are. But for peak-baggers, or those simply interested in getting a gorgeous view from a relatively easy-to-navigate peak, the views are worth the extra effort.",roundtrip,13.7,Snoqualmie Region
Mount Washington,Snoqualmie Region -- North Bend Area,"8.5 miles, roundtrip",3250,4450,3.94,Wildflowers/Meadows|Mountain views|Old growth|Summits|Dogs allowed on leash,"This easy-access day hike delivers comparable—if not superior—panoramic views and lung-busting switchbacks to Mount Si, with significantly less foot traffic.",roundtrip,8.5,Snoqualmie Region
Mount Baring,Central Cascades -- Stevens Pass - West,"7.0 miles, roundtrip",3500,6129,4.50,Mountain views|Old growth|Summits|Wildlife,"A fairly well used climber's trail goes straight up, and up, and then up Mount Baring. The trail requires moderate navigational skills and possibly climbing equipment in bad weather.",roundtrip,7,Central Cascades
Millersylvania State Park,Olympic Peninsula -- Olympia,"6.0 miles, roundtrip",105,395,3.75,Wildflowers/Meadows|Dogs allowed on leash|Established campsites|Old growth|Good for kids|Lakes|Fall foliage,"Millersylvania State Park sports camping, boating and more than eight miles of hiking trails. The trails zigzag all around, so visitors can construct a loop of up to five miles, and add some side trips on. The huge old growth cedar and fir, easy accessibility to I-5 and excellent opportunity for a pleasant walk in the woods make this an attractive place to hike, especially in winter.",roundtrip,6,Olympic Peninsula
Moulton Falls,Southwest Washington -- Vancouver Area,"4.0 miles, roundtrip",90,570,4.00,Dogs allowed on leash|Rivers|Good for kids|Fall foliage|Waterfalls,"Moulton Falls Trail is an out-and-back hike along the Lewis River. The trail crosses a picturesque footbridge and then follows the Lewis River with the river to the right and a mossy cliff to the left. The wide hard-surfaced trail is mostly flat, making this a perfect year round hike for people of all ages.",roundtrip,4,Southwest Washington
Mount Finlayson,Puget Sound and Islands -- San Juan Islands,"3.6 miles, roundtrip",408,290,4.25,Wildflowers/Meadows|Wildlife|Summits|Good for kids|Dogs allowed on leash|Coast,"With expansive views of the Strait of Juan de Fuca contrasting with deep forest lagoons, the Mount Finlayson loop features the variety of ecosystems that San Juan Island offers in an easy and scenic trail. Options for shorter or longer routes make this a suitable destination for hikers of all ages.",roundtrip,3.6,Puget Sound and Islands
Mink Lake,Olympic Peninsula -- Northern Coast,"5.2 miles, roundtrip",1450,3100,3.14,Wildflowers/Meadows|Dogs not allowed|Good for kids|Lakes|Rivers,"The forest to Mink Lake is beautiful, packed full of Queen's Cup, lilies and bunchberry flowers in bloom. Depending on the season, you may see Western Coralroot orchids and Indian Pipe, or Beargrass, Anenomes and violets around the lake.",roundtrip,5.2,Olympic Peninsula
Mount Ellinor,Olympic Peninsula -- Hood Canal,"6.2 miles, roundtrip",3300,5944,4.56,Wildflowers/Meadows|Ridges/passes|Wildlife|Mountain views|Old growth|Summits|Dogs allowed on leash|Fall foliage,"Mount Ellinor is the southern-most prominence on the eastern front of the Olympics. This makes its peak easy to point out to your friends when you say, ”I was up there.” Mount Ellinor also gives you two trailheads to choose from. The lower trailhead at 2,600 feet welcomes you to the ascent with an easy grade at the outset. The route from the upper trailhead at 3,500 feet starts out with a nearly immediate upward jolt. The trails merge well before the summit and continue upward at a character-building grade.",roundtrip,6.2,Olympic Peninsula
Mount Defiance,Snoqualmie Region -- Snoqualmie Pass,"11.0 miles, roundtrip",3584,5584,4.38,Wildflowers/Meadows|Mountain views|Summits|Lakes,"Hike trails though sub-alpine forest and across boulder fields and, in season, enjoy a multitude of wildflowers. Pass a beautiful mountain lake. Ascend to a 5584-foot summit and enjoy incredible views of Cascade peaks and nearby lakes.",roundtrip,11,Snoqualmie Region
Mount Adams South Climb,South Cascades -- Mount Adams Area,"12.0 miles, roundtrip",6700,12276,4.72,Mountain views|Dogs allowed on leash|Summits|Established campsites|Rivers,"The South Climb (or Lunch Counter Approach) of Mount Adams is the one that requires the least amount of technical expertise. However, ice axes, trekking poles, and crampons or microspikes (depending on the season) are required to summit. Hikers who put this investment in will be rewarded with stunning views on a clear day, as well as the satisfaction of having made it up one of Washington's five volcanoes.",roundtrip,12,South Cascades
Capitol State Forest - Mount Molly,Olympic Peninsula -- Olympia,"3.0 miles, roundtrip",908,1950,3.00,Mountain views|Rivers,"Explore one of the many trails in Capitol State Forest as an out-and-back, or combined with another trail in the area.",roundtrip,3,Olympic Peninsula
Mount Fernow,Central Cascades -- Leavenworth Area,"22.0 miles, one-way",5900,9249,0.00,Wildflowers/Meadows|Mountain views|Summits|Fall foliage|Ridges/passes,The route to Mount Fernow is a Class 4 and involves exposed climbing. Gear and experience are recommended.,one-way,44,Central Cascades
Mount Margaret,Snoqualmie Region -- Snoqualmie Pass,"5.5 miles, roundtrip",2000,5459,4.36,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes|Summits|Fall foliage,"Hike up an abandoned road, through a logged area, and into mature forest on the edge of the Alpine Lakes wilderness. What the trail lacks in ruggedness is more than made up for by the quantity of berries that line the trail.",roundtrip,5.5,Snoqualmie Region
Mosquito Meadows,South Cascades -- Dark Divide,"2.2 miles, roundtrip",350,4350,3.40,Wildflowers/Meadows,"This mile-long gentle climb brings you to the Boundary Trail, where you can turn left towards Badger Lake or right towards Mount St. Helens.",roundtrip,2.2,South Cascades
Miller Peninsula-Thompson Spit,Olympic Peninsula -- Northern Coast,"5.0 miles, roundtrip",360,360,3.00,Dogs allowed on leash|Good for kids|Coast,This wooded walk enters a lush ravine lined with remnant old-growth and gives way to an isolated beach with views of Protection Island.,roundtrip,5,Olympic Peninsula
Mount Maude,Central Cascades -- Stevens Pass - East,"7.0 miles, one-way",5400,9040,3.67,Mountain views|Dogs allowed on leash|Summits,"A summit of a mountain in the central Cascades, accessible from Holden Village or the Phelps Creek trailhead.",one-way,14,Central Cascades
Mitchell Peak,Southwest Washington -- Lewis River Region,"5.0 miles, roundtrip",2100,4000,0.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Summits|Ridges/passes,"The Mitchell Peak Trail has two trailheads, the northern access has been closed to the public since 2011. A much longer hike (see Black Hole Falls Hike) is now required to get to summit where a Forest Service fire look out used to perch in beautiful sub-alpine terrain with panorama views of the major southwest Washington & Oregon volcanoes.",roundtrip,5,Southwest Washington
Mount Price,Snoqualmie Region -- North Bend Area,"13.5 miles, roundtrip",4500,5000,0.00,Mountain views|Summits|Rivers|Ridges/passes,"A routefinding scramble to the summit of a mountain up the Middle Fork Snoqualmie. Climbing, gear, and routefinding experience required.",roundtrip,13.5,Snoqualmie Region
Monte Cristo,Southwest Washington -- Columbia River Gorge - WA,"5.0 miles, roundtrip",400,4177,4.50,Ridges/passes|Summits|Rivers,"Like its neighbor, the nearby Monte Carlo trail, the 4.1 mile-long Monte Cristo trail ventures into the small Monte Cristo range in the south Cascades outside of Willard. From it, hikers see a myriad of wildflowers in the spring, and the occasional views of the south Cascade range.",roundtrip,5,Southwest Washington
Mima Mounds,Olympic Peninsula -- Olympia,"2.75 miles, roundtrip",10,225,2.85,Wildflowers/Meadows|Mountain views|Dogs not allowed|Good for kids,"These mysterious mounds inspire imagination and speculation among visitors. With a half-mile ADA accessible path and another two miles of more rugged wandering, the Mima Mounds are a great destination for many hikers.",roundtrip,2.75,Olympic Peninsula
Mohawk Falls and Mohawk Mine,Central Cascades -- Stevens Pass - West,"0.6 miles, roundtrip",200,1500,4.80,Old growth|Good for kids|Dogs allowed on leash|Waterfalls,"A short, non-crowded hike to a great waterfall and historic mines.",roundtrip,0.6,Central Cascades
Mount Angeles,Olympic Peninsula -- Northern Coast,"6.25 miles, roundtrip",1254,6454,4.00,Wildflowers/Meadows|Mountain views|Summits|Coast|Ridges/passes,A scramble up Mount Angeles just off the Klahhane Ridge hike in Olympic National Park.,roundtrip,6.25,Olympic Peninsula
